Workout #,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,A,B,C,A,B,C,A,B,C,A,B,C,A,B,C,A,B,C,A,B,C,A,B,C,A,B,C,A,B,C,A,B,C,A,B,C,A,B,C,A,B,C
,6,5,4,3,2,Neg,6,5,4,3,2,Neg,6,5,F,3,2,Neg,5,3,F,3,1,Neg,5,3,F,3,2,1,5,3,F,3,2,1,5,3,2,3,2,1
1RM
100,75,80,80,85,90,100,75,80,85,90,95,105,80,85,90,90,100,110,85,95,95,95,105,115,90,100,100,100,110,110,95,100,105,100,110,115,100,110,115,105,115,120
105,80,85,85,85,95,105,80,85,90,90,100,110,85,90,95,95,105,115,90,100,100,100,110,120,95,105,105,105,115,115,100,105,110,105,115,120,100,110,120,110,120,125
110,85,90,90,90,100,110,85,90,95,95,105,115,90,95,100,100,105,120,95,105,105,105,115,125,100,105,110,110,115,120,105,110,115,110,120,125,105,115,125,115,125,130
115,85,90,95,95,105,115,90,95,100,100,110,120,95,100,105,105,110,125,100,110,110,110,120,130,105,110,115,115,120,125,105,115,115,115,125,130,110,120,130,120,125,135
120,90,95,100,100,110,120,95,100,105,105,115,125,95,105,110,110,115,130,105,110,115,115,125,135,105,115,120,115,125,130,110,120,120,120,130,135,115,125,135,125,130,140
125,95,100,105,105,115,125,100,105,110,110,115,130,100,105,115,115,120,135,110,115,120,120,125,140,110,120,120,120,130,135,115,125,125,125,130,140,120,130,140,125,135,145
130,100,105,110,110,120,130,100,110,115,115,120,135,105,110,120,120,125,140,110,120,125,125,130,145,115,125,125,125,135,140,120,130,130,130,135,145,125,135,145,130,140,150
135,105,110,115,115,125,135,105,115,120,120,125,140,110,115,125,125,130,145,115,125,125,130,135,150,120,130,130,130,140,145,125,135,135,130,140,150,125,140,150,135,145,155
140,105,115,120,120,130,140,110,115,125,125,130,145,115,120,130,130,135,150,120,130,130,130,140,155,125,135,135,135,145,150,130,140,140,135,145,155,130,145,155,140,150,160
145,110,120,125,125,135,145,115,120,130,130,140,155,120,125,135,135,145,160,125,135,140,140,150,165,130,140,145,145,155,160,135,145,150,145,155,165,140,155,165,150,160,170
150,115,125,130,130,140,155,120,125,135,135,145,160,125,130,140,140,150,165,130,140,145,145,155,170,135,145,150,145,160,165,140,150,155,150,160,170,145,160,165,155,165,175
155,120,125,130,130,140,155,120,130,135,135,145,160,125,135,140,140,150,170,135,145,145,150,160,175,140,150,150,150,165,170,145,155,155,155,165,175,150,160,170,160,170,180
160,120,130,135,135,145,160,125,135,140,140,150,170,130,135,145,145,155,175,140,150,150,150,165,180,145,155,155,155,170,175,145,160,160,155,170,180,150,165,175,160,175,185
165,125,135,140,140,150,165,130,140,145,145,155,175,135,140,150,150,160,180,140,155,155,155,170,185,145,160,160,160,175,180,150,165,165,160,175,185,155,170,180,165,180,190
170,130,140,145,145,155,170,135,140,150,150,160,180,140,145,155,155,165,185,145,160,160,160,175,190,150,165,165,165,180,185,155,170,170,165,180,190,160,175,185,170,185,195
175,135,145,150,150,160,175,140,145,155,155,165,185,140,150,160,160,170,190,150,165,165,165,180,195,155,170,170,170,185,190,160,175,175,170,185,195,165,180,190,175,190,200
180,140,150,155,155,165,185,140,150,160,160,170,190,145,155,165,165,175,195,155,170,170,170,185,200,160,175,175,175,190,195,165,180,180,175,190,200,170,185,195,180,195,205
185,145,150,160,160,170,190,145,155,165,165,175,195,150,160,170,170,180,200,160,170,175,175,190,205,165,175,180,180,195,200,170,185,185,180,195,205,175,190,200,185,200,210
190,145,155,160,160,175,195,150,160,165,170,180,200,155,165,175,175,185,205,160,175,180,180,190,210,165,180,185,180,200,205,170,185,190,185,195,210,175,195,205,190,205,215
195,150,160,165,165,180,200,155,165,170,175,185,205,160,165,175,180,190,210,165,180,185,185,195,215,170,185,190,185,200,210,175,190,195,190,200,215,180,200,210,195,205,220
200,155,165,170,170,185,205,160,170,175,175,190,210,160,170,180,185,195,215,170,185,185,190,200,220,175,190,195,190,205,215,180,195,200,190,205,220,185,205,215,200,210,225
205,160,170,175,175,190,210,160,170,180,180,195,215,165,175,185,185,200,220,175,190,190,195,205,225,180,195,195,195,210,220,185,200,205,195,210,225,190,210,220,200,215,230
